Total path length: 3.0 miles
Total points: 10
0 0 0
-0.000435338897639558 -0.004811262573728652 110.67830293409448
-0.0036017550560919903 -0.008459765858728052 121.05514606011744
-0.008102259592869511 -0.006703854009116854 103.23466897509803
-0.005537996306142877 -0.010798035405379849 120.93233650048464
-0.0102734031637147 -0.011753906423050029 107.68903541025378
-0.014354840617180308 -0.009169407279577886 103.63412352306887
-0.014295464862148126 -0.0043388543061726225 121.47791461740805
-0.01212581261430566 -0.008655146306558163 113.75700732696843
-0.012496429753465172 -0.003838465868193865 118.58142544971705
