(0, 0, 0)
(-0.0013874475382653871, -0.010467798135583902, 110.70699896023926)
(-0.007848080753876116, -0.003993169465435549, 108.74495933726452)
(0.0016719412646501557, -0.009916180812783802, 101.36960660128908)
(0.005213348469109762, -0.0032848133493835387, 123.37509451340054)
(0.0025783249214835196, 0.0030921243679115874, 121.41470092491929)
(0.002127954449040113, 0.001429784778389483, 120.16545094745123)
(0.00021802512363809233, -0.0011477782184980123, 105.7188187526931)
(-7.281846869773567e-06, 0.0005787332011446422, 123.01581660150042)
(0.0003554524326115186, 3.195386064651411e-05, 120.27041870543647)
