Total path length: 2.8792541446842774 miles
Total points: 10
0.002555199769562607 -0.0035177472649476765 119.20567676468724
0.002865084775926448 0.0008190214590276454 114.11740794613931
0.0031643410160953653 0.005156536575443913 114.03847890864482
0.00466580523961168 0.009236879314469669 104.46145827297646
0.0011598176409819382 0.006665567851290983 113.07779007158905
0.005008587746922678 0.008688081226781134 111.17869800409765
0.0007735062015121232 0.007704375993419737 118.19388323464891
0.0001818768623954802 0.0033969908925126843 101.1252479194446
-0.0013979362023015147 0.0074476429836002845 122.03038497323718
-0.0024262978441173598 0.011672103187704647 104.33825430896704
